Calle 2;2
Avenida Central;Central
Calle 4A;4A
Calle Las Palmas;Las Palmas
Calle 3;3
Calle Jiménez;Jiménez
Calle El Roble;El Roble
Calle Esquipulas;Esquipulas
Calle 5;5
Calle Jardín de Orquídeas;Jardín Orquídeas
Calle Rubén Rojas;Rubén Rojas
Calle Chanceros;Chanceros
Calle María Eugenia;María Eugenia
Calle Bajpo del Beneficio;Bajpo Beneficio
Calle La Perica;La Perica
Calle Esquipulas;Esquipulas
Calle Solís Ruíz;Solís Ruíz
Calle Porfirio Alvarado;Porfirio Alvarado
Calle Abarca;Abarca
Calle Prudencio Monge;Prudencio Monge
Calle Fernández;Fernández
Calle 1;1
Avenida Central;Central
Calle 1;1
Avenida 2;2
Calle 2;2
Avenida 6;6
Ruta Nacional 714;Ruta Nacional 714
Vía 714;714
Vía 714;714
Calle los Tanques;los Tanques
Calle los Tanques;los Tanques
Calle los Tanques;los Tanques
Calle Las Palmas;Las Palmas
Vía 714;714
Calle Los Carpeta;Los Carpeta
Calle Ñangaro;Ñangaro
Calle Maroto;Maroto
Calle La Rosa;La Rosa
Calle La Tinajita Arriba;La Tinajita Arriba
Calle La Rosa;La Rosa
Calle Vargas;Vargas
Calle Maroto;Maroto
Calle Vásquez;Vásquez
Calle Tilo Vargas;Tilo Vargas
Calle Los Palomos;Los Palomos
Calle Vargas;Vargas
Calle Jiménez;Jiménez
Calle Escuela;Escuela
Calle Toño Vásquez;Toño Vásquez
Calle los Tanques;los Tanques
Calle Santiago;Santiago
Calle Santa Lucía;Santa Lucía
Calle Lorito;Lorito
Calle Ángeles;Ángeles
Calle El Beneficio;El Beneficio
Calle Los Carpeta;Los Carpeta
Calle Tanque de Agua;Tanque Agua
Calle Céspedes;Céspedes
Calle Vásquez;Vásquez
Calle Vásquez;Vásquez
Calle Vásquez;Vásquez
Calle Fernando Vargas;Fernando Vargas
Calle Los Chepillos;Los Chepillos
Calle Plaza;Plaza
Calle los Tanques;los Tanques
Calle Santiago;Santiago
