calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Granada;Granada;Granada;;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_Granada
Calle La Margarita;La Margarita;La;Margarita;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Margarita_Esper%C3%B3n_Lara
Calle El Urbano;El Urbano;El;Urbano;-2;Male;-;-
Calle San Luis;San Luis;San;Luis;-2;Male;-;-
Calle Ruta del Sol;Ruta Sol;Ruta;Sol;2;Female;-;-;https://es.wikipedia.org/wiki/Berta_Soler
Calle Julieta;Julieta;Julieta;;2;Female;-;-;https://es.wikipedia.org/wiki/Julieta_Venegas
Avenida General Tomás Guardia;General Tomás Guardia;General;Tomás;-2;Male;-;-
Calle San Juan;San Juan;San;Juan;-2;Male;-;-
Calle Álvaro Araya;Álvaro Araya;Álvaro;Araya;-2;Male;-;-
Calle Imperio Verde;Imperio Verde;Imperio;Verde;2;Female;-;-;https://es.wikipedia.org/wiki/Imperio_Argentina
Calle Los Ángeles;Los Ángeles;Los;Ángeles;2;Female;-;-;https://es.wikipedia.org/wiki/Los_%C3%81ngeles_de_Leakey
Calle María Isabel;María Isabel;María;Isabel;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Isabel_de_Braganza
Calle Benjamín Solórzano;Benjamín Solórzano;Benjamín;Solórzano;-2;Male;-;-
Calle Florencia;Florencia;Florencia;;2;Female;-;-;https://es.wikipedia.org/wiki/Florencia_de_Saracho
Calle Mayra;Mayra;Mayra;;2;Female;-;-;https://es.wikipedia.org/wiki/Mayra_Ver%C3%B3nica
Avenida Lilian;Lilian;Lilian;;2;Female;-;-;https://es.wikipedia.org/wiki/Lilian_Harvey
Calle Sonia;Sonia;Sonia;;2;Female;-;-;https://es.wikipedia.org/wiki/Sonia_Sotomayor
Solo Ambulancias;Solo Ambulancias;Solo;Ambulancias;-2;Male;-;-
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-
Calle La Paula;La Paula;La;Paula;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Paula_Ar%C3%B3sio
